,city,latitude,longitude,temperature,humidity,cloudiness,wind_speed
1,vaini,-90.0,-180.0,-40.09,98,100,11.56
3,mataura,-90.0,-167.2,-40.09,98,100,11.56
8,rikitea,-90.0,-135.19999999999996,-40.09,98,100,11.56
10,punta arenas,-90.0,-122.39999999999995,-40.09,98,100,11.56
15,ushuaia,-90.0,-90.39999999999992,-40.09,98,100,11.56
27,hermanus,-90.0,-13.599999999999852,-40.09,98,100,11.56
31,bredasdorp,-90.0,12.00000000000017,-40.09,98,100,11.56
34,port elizabeth,-90.0,31.200000000000188,-40.09,98,100,11.59
36,port alfred,-90.0,44.0000000000002,-40.09,98,100,11.56
39,taolanaro,-90.0,63.200000000000216,-40.09,98,100,11.56
41,busselton,-90.0,76.00000000000023,-40.09,98,100,11.56
43,albany,-90.0,88.80000000000024,-40.09,98,100,11.56
48,new norfolk,-90.0,120.8000000000003,-40.09,98,100,11.56
50,hobart,-90.0,133.60000000000025,-40.09,98,100,11.56
53,bluff,-90.0,152.8000000000003,-40.09,98,100,11.56
84,cape town,-82.8,-13.599999999999852,-39.37,88,99,12.91
95,east london,-82.8,56.80000000000021,-69.65,100,100,10.67
114,kaitangata,-82.8,178.40000000000032,1.33,69,100,18.21
117,avarua,-75.6,-167.2,-10.12,93,100,12.21
196,mar del plata,-68.39999999999999,-26.399999999999864,-5.82,100,82,4.79
197,chuy,-68.39999999999999,-19.999999999999858,-6.84,100,97,6.98
212,saint-philippe,-68.39999999999999,76.00000000000023,-9.62,81,99,7.87
254,cidreira,-61.19999999999999,-19.999999999999858,16.66,87,98,21.27
269,souillac,-61.19999999999999,76.00000000000023,26.71,95,100,26.93
277,portland,-61.19999999999999,127.20000000000027,32.13,84,100,29.46
297,castro,-53.999999999999986,-109.59999999999994,42.76,94,100,27.87
311,arraial do cabo,-53.999999999999986,-19.999999999999858,29.88,76,100,31.47
318,kruisfontein,-53.999999999999986,24.800000000000182,27.07,90,100,11.18
322,tsihombe,-53.999999999999986,50.400000000000205,28.18,68,100,37.8
334,esperance,-53.999999999999986,127.20000000000027,39.96,77,84,18.86
339,tuatapere,-53.999999999999986,159.20000000000027,43.02,87,55,23.29
342,dunedin,-53.999999999999986,178.40000000000032,41.32,80,99,29.97
359,coihaique,-46.79999999999998,-77.59999999999991,47.12,79,37,23.0
361,comodoro rivadavia,-46.79999999999998,-64.7999999999999,54.14,76,30,14.27
362,viedma,-46.79999999999998,-58.39999999999989,48.13,86,0,27.31
369,jamestown,-46.79999999999998,-13.599999999999852,41.23,94,100,20.92
378,umzimvubu,-46.79999999999998,44.0000000000002,38.23,69,92,28.41
383,mahebourg,-46.79999999999998,76.00000000000023,42.51,85,100,33.98
392,mount gambier,-46.79999999999998,133.60000000000025,48.7,95,100,22.21
399,waipawa,-46.79999999999998,178.40000000000032,45.9,73,100,23.47
412,ancud,-39.59999999999998,-103.19999999999993,52.23,87,90,18.23
416,valdivia,-39.59999999999998,-77.59999999999991,51.37,76,96,16.64
417,villarrica,-39.59999999999998,-71.1999999999999,45.3,72,62,9.13
419,necochea,-39.59999999999998,-58.39999999999989,56.08,89,0,17.29
420,maldonado,-39.59999999999998,-51.999999999999886,60.87,61,0,7.83
